,figi,figi_ticker,publication_date,summary,ticker,title,url
0,BBG000BQLTW7,ORCL:US,2017-11-07 22:15:16 +0000,"Bonds sold by some of the country's largest technology, media and telecommunications companies have come under pressure this month, buffeted by sparring in US Congress over tax reform and as investors ...",ORCL,[$$] Tech sector leads pullback for investment grade debt market,"http://finance.yahoo.com/r/61377eb4-d564-3799-9471-29965ff1bc26/472af7c0-c3ce-11e7-b2bb-322b2cb39656,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev&yptr=yahoo&.tsrc=rss"
1,BBG000BQLTW7,ORCL:US,2017-11-07 20:49:27 +0000,"Oracle Corp. tapped the corporate bond market Tuesday with a deal expected to total about $10 billion, according to research firm CreditSights. That would eclipse the $7 billion offering from Apple Inc. ...",ORCL,Oracle tapping corporate bond market with deal that could total $10 billion,http://finance.yahoo.com/r/1c7c7268-e56f-3f2a-b066-dcac38460663/Story.aspx?guid=F4FCE751-E012-4F92-931A-DEED2DE95931&siteid=yhoof2&yptr=yahoo&.tsrc=rss
2,BBG000BQLTW7,ORCL:US,2017-11-07 20:13:31 +0000,"A U.S. tax overhaul may happen this year, but some of America’s largest technology companies aren’t banking on it.",ORCL,Tech Companies Aren’t Waiting for Tax Changes to Reward Shareholders,http://finance.yahoo.com/r/7e32c3a2-8343-3861-8fcf-d07d45f92f40/tech-companies-don-t-wait-for-tax-changes-to-reward-shareholders?utm_source=yahoo&utm_medium=bd&utm_campaign=headline&cmpId=yhoo.headline&yptr=yahoo&.tsrc=rss
3,BBG000BQLTW7,ORCL:US,2017-11-07 17:16:20 +0000,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the Technology Select Sector SPDR Fund Symbol XLK where we have detected an approximate 260 8 million dollar inflow that s a 1 4 increase week over week,ORCL,"Noteworthy ETF Inflows: XLK, ORCL, MA, IBM",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/sI_5XyJaGX4/noteworthy-etf-inflows-xlk-orcl-ma-ibm-cm873046
4,BBG000BQLTW7,ORCL:US,2017-11-07 16:21:19 +0000,Mark Hurd says the cash pile can be put to better use on American soil.,ORCL,Oracle joins Apple in support of a tax repatriation plan,https://finance.yahoo.com/news/oracle-joins-apple-support-tax-162119268.html?.tsrc=rss
5,BBG000BQLTW7,ORCL:US,2017-11-07 15:18:00 +0000,"&quot;We're certainly supportive of repatriation,&quot; Oracle CEO Mark Hurd told CNBC. He also discussed how his company invests its cash.",ORCL,Oracle is very supportive of tax reform that allows us to...,https://finance.yahoo.com/video/oracle-very-supportive-tax-reform-151800708.html?.tsrc=rss
6,BBG000BQLTW7,ORCL:US,2017-11-07 15:06:02 +0000,First Eagle Investment New Purchases NOC AMAT PXD BUD EOG NXPI MON WDC ICE OC Added Positions CVX XOM WPM AGU MSFT CHRW APD CL OMC GLD Reduced Positions AXP TWX PEP DE MSG EL DHR TEL QCOM FTV Sold Out ZTS CSX ABCO,ORCL,"First Eagle Investment Buys Chevron Corp, Exxon Mobil Corp, Wheaton Precious Metals Corp, Sells ...",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/F-tN9yUyOwQ/first-eagle-investment-buys-chevron-corp-exxon-mobil-corp-wheaton-precious-metals-corp-sells-cm872900
7,BBG000BQLTW7,ORCL:US,2017-11-07 13:07:06 +0000,"Rating Action: Moody's assigns A1 rating to Oracle's senior notes; outlook is negative. Global Credit Research- 07 Nov 2017. New York, November 07, 2017-- Moody's Investors Service assigned an A1 rating ...",ORCL,Oracle Corporation -- Moody's assigns A1 rating to Oracle's senior notes; outlook is negative,http://finance.yahoo.com/r/37b4853e-32c5-3d23-85bd-4d49f0f896b0/viewresearchdoc.aspx?docid=PR_375024&WT.mc_id=AM~WWFob29fRmluYW5jZV9TQl9SYXRpbmcgTmV3c19BbGxfRW5n~20171107_PR_375024&yptr=yahoo&.tsrc=rss
8,BBG000BQLTW7,ORCL:US,2017-11-07 13:00:00 +0000,Exploding use of artificial intelligence (AI) is likely to generate big profits for these companies.,ORCL,How Artificial Intelligence Will Boost These 8 Stocks,http://finance.yahoo.com/r/97a07dcb-a512-3850-a6ad-8aeec59c50ae/how-artificial-intelligence-will-boost-these-8-stocks?partner=YahooSA&yptr=yahoo&.tsrc=rss
9,BBG000BQLTW7,ORCL:US,2017-11-07 08:00:00 +0000,"Oracle shows improving price performance, earning an upgrade to its IBD Relative Strength Rating",ORCL,Oracle Earns Relative Strength Rating Upgrade,http://finance.yahoo.com/r/475553e4-dda4-37be-b43c-9c3199558f2b/oracle-earns-relative-strength-rating-upgrade?src=A00220&yptr=yahoo&.tsrc=rss
