"date,""close"",""volume"",""open"",""high"",""low"""
"16:00,""34.11"",""29,975,291"",""33.97"",""34.31"",""33.75"""
"2017/11/14,""34.0400"",""17456460.0000"",""33.8600"",""34.1600"",""33.8000"""
"2017/11/13,""33.9500"",""16416580.0000"",""33.8600"",""34.2100"",""33.8300"""
"2017/11/10,""33.9900"",""19300000.0000"",""34.0600"",""34.0900"",""33.6700"""
"2017/11/09,""34.0500"",""16769040.0000"",""34.2900"",""34.3200"",""33.8710"""
"2017/11/08,""34.5000"",""13052330.0000"",""34.3100"",""34.5000"",""34.1200"""
"2017/11/07,""34.4000"",""11332940.0000"",""34.3200"",""34.4800"",""34.2147"""
"2017/11/06,""34.4100"",""12786450.0000"",""34.3700"",""34.5600"",""34.2600"""
"2017/11/03,""34.4700"",""13413870.0000"",""34.2800"",""34.4900"",""34.0269"""
"2017/11/02,""34.2100"",""19822140.0000"",""34.5500"",""34.6400"",""34.1600"""
"2017/11/01,""34.6200"",""21990700.0000"",""34.2900"",""34.7500"",""34.2800"""
"2017/10/31,""34.1500"",""13706970.0000"",""33.9800"",""34.2400"",""33.9600"""
"2017/10/30,""34.0400"",""18327340.0000"",""34.3200"",""34.3800"",""33.8244"""
"2017/10/27,""34.4300"",""20355130.0000"",""34.1500"",""34.6200"",""34.0900"""
"2017/10/26,""34.2700"",""14604350.0000"",""34.4100"",""34.5100"",""34.0700"""
"2017/10/25,""34.3000"",""17394190.0000"",""34.7300"",""34.7300"",""34.1630"""
"2017/10/24,""34.5800"",""16134490.0000"",""34.4000"",""34.6750"",""34.2500"""
"2017/10/23,""34.3500"",""22618860.0000"",""34.4500"",""34.6800"",""34.2700"""
"2017/10/20,""34.2500"",""24259980.0000"",""34.0200"",""34.3900"",""34.0100"""
"2017/10/19,""33.7500"",""13004670.0000"",""33.5100"",""33.8900"",""33.4500"""
"2017/10/18,""33.5500"",""9961658.0000"",""33.7200"",""33.7500"",""33.4400"""
"2017/10/17,""33.6000"",""9302771.0000"",""33.5900"",""33.6700"",""33.4600"""
"2017/10/16,""33.5400"",""10507790.0000"",""33.6000"",""33.6400"",""33.4700"""
"2017/10/13,""33.4700"",""13576820.0000"",""33.4000"",""33.5700"",""33.3230"""
"2017/10/12,""33.2600"",""18167900.0000"",""33.2600"",""33.4600"",""33.1700"""
"2017/10/11,""33.5900"",""12554740.0000"",""33.3800"",""33.6300"",""33.2500"""
"2017/10/10,""33.5500"",""17995060.0000"",""33.8800"",""33.9100"",""33.4700"""
"2017/10/09,""33.7600"",""8727910.0000"",""33.7700"",""33.8900"",""33.6100"""
"2017/10/06,""33.7500"",""15428060.0000"",""33.6500"",""33.7800"",""33.5247"""
"2017/10/05,""33.5900"",""14523720.0000"",""33.5800"",""33.6700"",""33.4100"""
"2017/10/04,""33.4400"",""14650550.0000"",""33.5300"",""33.5600"",""33.2900"""
"2017/10/03,""33.8500"",""13321660.0000"",""33.7200"",""33.9000"",""33.6100"""
"2017/10/02,""33.7500"",""16555120.0000"",""33.6100"",""33.7700"",""33.5200"""
"2017/09/29,""33.6300"",""14736010.0000"",""33.3100"",""33.6700"",""33.2400"""
"2017/09/28,""33.3500"",""14823870.0000"",""33.2200"",""33.4600"",""33.2200"""
"2017/09/27,""33.4800"",""22378670.0000"",""33.7800"",""33.9200"",""33.3037"""
"2017/09/26,""33.7600"",""26106670.0000"",""33.7600"",""34.1000"",""33.6700"""
"2017/09/25,""33.7200"",""32381360.0000"",""33.3100"",""33.8400"",""33.2000"""
"2017/09/22,""33.3700"",""28234820.0000"",""32.6600"",""33.5300"",""32.6400"""
"2017/09/21,""32.7000"",""19836530.0000"",""32.7200"",""32.9000"",""32.5000"""
