"date","close","volume","open","high","low"
"16:00","177.95","10,219,409","176.75","178.57","176.40"
"2017/11/14","178.0700","9535750.0000","178.1300","178.9700","177.1800"
"2017/11/13","178.7700","9514524.0000","177.5000","179.0400","177.3000"
"2017/11/10","178.4600","11058700.0000","178.3500","179.0999","177.9600"
"2017/11/09","179.3000","12599830.0000","178.3100","179.4000","177.0900"
"2017/11/08","179.5600","10467000.0000","179.7900","180.3500","179.1100"
"2017/11/07","180.2500","12895890.0000","180.5000","180.7478","178.9600"
"2017/11/06","180.1700","13274060.0000","178.5600","180.4500","178.3100"
"2017/11/03","178.9200","17789310.0000","179.2900","179.8600","176.7100"
"2017/11/02","178.9200","35448690.0000","180.6300","181.9400","177.3400"
"2017/11/01","182.6600","37999510.0000","182.3600","182.9000","180.5700"
"2017/10/31","180.0600","19936260.0000","180.5700","180.8000","178.9400"
"2017/10/30","179.8700","24309980.0000","179.2600","180.6900","177.6100"
"2017/10/27","177.8800","30266080.0000","174.1500","178.2100","173.9000"
"2017/10/26","170.6300","11690100.0000","171.3800","172.2850","170.3900"
"2017/10/25","170.6000","15861100.0000","171.9000","172.2500","168.8900"
"2017/10/24","171.8000","12163060.0000","172.3000","173.2400","171.5000"
"2017/10/23","171.2700","13807700.0000","175.2000","175.3400","171.2500"
"2017/10/20","174.9800","12422870.0000","175.5000","175.8800","174.6300"
"2017/10/19","174.5600","13873480.0000","174.9300","176.0300","172.6300"
"2017/10/18","176.0300","12723070.0000","176.6500","176.7400","175.7500"
"2017/10/17","176.1100","15926670.0000","174.7100","176.1300","174.3600"
"2017/10/16","174.5200","11455560.0000","174.4900","175.0000","174.0600"
"2017/10/13","173.7400","13601140.0000","173.4500","174.6500","173.2000"
"2017/10/12","172.5500","10461960.0000","172.6100","173.8500","172.2900"
"2017/10/11","172.7400","11251830.0000","171.9500","172.7800","171.4000"
"2017/10/10","171.5900","11330830.0000","173.0000","173.2000","170.8000"
"2017/10/09","172.5000","14552670.0000","172.7000","174.8800","172.0000"
"2017/10/06","172.2300","12711640.0000","170.2500","172.3700","169.7500"
"2017/10/05","171.2400","14453310.0000","169.1800","171.3100","168.6000"
"2017/10/04","168.4200","11926980.0000","169.8300","170.6700","168.2900"
"2017/10/03","169.9600","8177141.0000","169.3000","170.7300","169.2000"
"2017/10/02","169.4700","13350740.0000","171.3900","171.8700","168.7500"
"2017/09/29","170.8700","15274870.0000","168.8300","171.6600","168.8100"
"2017/09/28","168.7300","12157690.0000","167.9400","169.0696","167.1600"
"2017/09/27","167.6800","19131680.0000","165.9000","168.3400","165.5700"
