"date,""close"",""volume"",""open"",""high"",""low"""
"16:00,""1,036.41"",""903,120"",""1,035"",""1,039.63"",""1,030.76"""
"2017/11/14,""1041.6400"",""1049579.0000"",""1037.7200"",""1042.3000"",""1029.3300"""
"2017/11/13,""1041.2000"",""940083.0000"",""1040.8000"",""1048.7400"",""1039.2600"""
"2017/11/10,""1044.1500"",""970438.0000"",""1043.8700"",""1046.6300"",""1041.2200"""
"2017/11/09,""1047.7200"",""1793882.0000"",""1048.0000"",""1050.8800"",""1035.8500"""
"2017/11/08,""1058.2900"",""1214458.0000"",""1050.0500"",""1062.6910"",""1047.0500"""
"2017/11/07,""1052.3900"",""1303523.0000"",""1049.6500"",""1053.4100"",""1043.0000"""
"2017/11/06,""1042.6800"",""913890.0000"",""1049.1000"",""1052.5900"",""1042.0000"""
"2017/11/03,""1049.9900"",""1385129.0000"",""1042.7500"",""1050.6600"",""1037.6500"""
"2017/11/02,""1042.9700"",""1334054.0000"",""1039.9900"",""1045.5200"",""1028.6600"""
"2017/11/01,""1042.5950"",""2132655.0000"",""1036.3150"",""1047.8600"",""1034.0000"""
"2017/10/31,""1033.0400"",""1502091.0000"",""1033.0000"",""1041.0000"",""1026.2950"""
"2017/10/30,""1033.1300"",""2339218.0000"",""1029.1600"",""1039.8300"",""1022.3300"""
"2017/10/27,""1033.6700"",""5182669.0000"",""1030.9900"",""1063.6200"",""1026.8500"""
"2017/10/26,""991.4200"",""2341752.0000"",""998.4700"",""1006.5100"",""990.4700"""
"2017/10/25,""991.4600"",""1398153.0000"",""986.2700"",""994.4300"",""977.7220"""
"2017/10/24,""988.4900"",""1437362.0000"",""986.5000"",""989.2600"",""977.0800"""
"2017/10/23,""985.5400"",""1637624.0000"",""1005.1800"",""1005.7938"",""983.1000"""
"2017/10/20,""1005.0700"",""1605177.0000"",""1007.0500"",""1008.6500"",""1002.2700"""
"2017/10/19,""1001.8400"",""1681370.0000"",""1004.7500"",""1007.3220"",""997.3000"""
"2017/10/18,""1012.7400"",""1278729.0000"",""1011.0500"",""1016.3091"",""1005.3200"""
"2017/10/17,""1011.0000"",""1006931.0000"",""1007.4400"",""1014.5600"",""1006.0500"""
"2017/10/16,""1009.3500"",""1069349.0000"",""1009.6300"",""1012.0000"",""1001.5200"""
"2017/10/13,""1007.8700"",""1327076.0000"",""1009.1100"",""1014.7600"",""1007.0600"""
"2017/10/12,""1005.6500"",""1540348.0000"",""1003.8400"",""1011.5388"",""1001.1000"""
"2017/10/11,""1005.6500"",""1813182.0000"",""989.0400"",""1007.5650"",""987.9400"""
"2017/10/10,""987.8000"",""1163319.0000"",""995.3000"",""997.4700"",""981.1100"""
"2017/10/09,""992.3100"",""1294495.0000"",""995.0000"",""1000.4600"",""991.5000"""
"2017/10/06,""993.6400"",""1551905.0000"",""980.0000"",""994.2600"",""978.5100"""
"2017/10/05,""985.1900"",""1778767.0000"",""972.7900"",""986.5085"",""970.2700"""
"2017/10/04,""966.7800"",""1056204.0000"",""971.7600"",""974.4000"",""965.6100"""
"2017/10/03,""972.0800"",""1083811.0000"",""967.5600"",""972.4400"",""962.7050"""
"2017/10/02,""967.4700"",""1536652.0000"",""975.6500"",""977.7400"",""961.9500"""
"2017/09/29,""973.7200"",""2026337.0000"",""966.0000"",""975.8100"",""966.0000"""
"2017/09/28,""964.8100"",""1400397.0000"",""956.2500"",""966.1800"",""955.5500"""
"2017/09/27,""959.9000"",""2332282.0000"",""942.7400"",""965.4300"",""941.9500"""
"2017/09/26,""937.4300"",""1628565.0000"",""936.6900"",""944.0800"",""935.1200"""
"2017/09/25,""934.2800"",""1869992.0000"",""939.4500"",""939.7500"",""924.5101"""
"2017/09/22,""943.2600"",""1074266.0000"",""942.7700"",""950.0000"",""940.8350"""
"2017/09/21,""947.5500"",""1307418.0000"",""948.1300"",""952.8000"",""939.3800"""
"2017/09/20,""947.5400"",""1922862.0000"",""937.7300"",""950.0000"",""937.5000"""
"2017/09/19,""936.8600"",""1232224.0000"",""933.4100"",""937.9400"",""926.6600"""
"2017/09/18,""929.7500"",""1456206.0000"",""935.0100"",""936.8600"",""925.4000"""
"2017/09/15,""935.2900"",""1956538.0000"",""940.0900"",""941.7500"",""931.2500"""
"2017/09/14,""940.1300"",""1424567.0000"",""946.0000"",""948.0300"",""938.3560"""
"2017/09/13,""950.4400"",""1094735.0000"",""945.5000"",""952.8500"",""944.7400"""
"2017/09/12,""946.6500"",""1283580.0000"",""946.9200"",""948.0850"",""937.5000"""
"2017/09/11,""943.2900"",""1336181.0000"",""947.2000"",""952.6800"",""941.0000"""
"2017/09/08,""941.4100"",""999254.0000"",""949.7000"",""950.7000"",""940.0100"""
"2017/09/07,""949.8900"",""1115442.0000"",""944.2500"",""950.4965"",""937.5300"""
"2017/09/06,""942.0200"",""1390301.0000"",""943.8700"",""944.5000"",""932.6800"""
"2017/09/05,""941.4800"",""1458147.0000"",""946.8600"",""951.3854"",""935.6000"""
"2017/09/01,""951.9900"",""1040545.0000"",""957.4700"",""958.3300"",""950.2800"""
"2017/08/31,""955.2400"",""1692138.0000"",""946.3000"",""957.1950"",""946.2500"""
"2017/08/30,""943.6300"",""1118563.0000"",""935.6700"",""945.8600"",""934.0500"""
"2017/08/29,""935.7500"",""1158354.0000"",""919.9500"",""938.1900"",""919.3100"""
"2017/08/28,""928.1300"",""1044123.0000"",""931.8800"",""934.8500"",""926.1100"""
"2017/08/25,""930.5000"",""1184541.0000"",""939.2100"",""940.7300"",""930.1000"""
"2017/08/24,""936.8900"",""1294082.0000"",""943.7100"",""946.3100"",""930.7400"""
"2017/08/23,""942.5800"",""1133170.0000"",""937.0000"",""945.4250"",""935.2400"""
"2017/08/22,""940.4000"",""1759671.0000"",""926.9600"",""941.9617"",""926.1700"""
"2017/08/21,""920.8700"",""1299116.0000"",""925.7700"",""928.2500"",""918.6000"""
"2017/08/18,""926.1800"",""1334709.0000"",""926.9800"",""931.0200"",""923.4500"""
"2017/08/17,""927.6600"",""1673792.0000"",""942.9500"",""943.8100"",""927.6400"""
"2017/08/16,""944.2700"",""1343195.0000"",""941.2500"",""949.9000"",""940.0391"""
"2017/08/15,""938.0800"",""1103653.0000"",""941.0300"",""943.0700"",""936.6400"""
"2017/08/14,""938.9300"",""1149516.0000"",""939.0700"",""941.0400"",""934.4850"""
"2017/08/11,""930.0900"",""1615509.0000"",""923.7100"",""933.3600"",""921.2200"""
"2017/08/10,""923.5900"",""2704040.0000"",""935.0000"",""936.3000"",""921.7768"""
"2017/08/09,""940.0800"",""1396204.0000"",""938.4500"",""943.7600"",""933.9200"""
"2017/08/08,""944.1900"",""1499665.0000"",""944.2900"",""952.4900"",""942.4800"""
"2017/08/07,""945.7500"",""1444154.0000"",""947.5200"",""948.9600"",""943.5000"""
"2017/08/04,""945.7900"",""1202478.0000"",""943.9500"",""947.5400"",""939.7950"""
"2017/08/03,""940.3000"",""1051251.0000"",""949.1000"",""950.0000"",""939.4400"""
"2017/08/02,""947.6400"",""2037607.0000"",""948.3700"",""949.1000"",""932.5210"""
"2017/08/01,""946.5600"",""1324952.0000"",""947.8100"",""954.4900"",""944.9600"""
"2017/07/31,""945.5000"",""2289972.0000"",""960.0000"",""961.1925"",""941.7250"""
"2017/07/28,""958.3300"",""1813698.0000"",""947.9900"",""961.7900"",""945.3100"""
"2017/07/27,""952.5100"",""3710908.0000"",""969.1800"",""969.5200"",""937.0600"""
"2017/07/26,""965.3100"",""2190430.0000"",""972.7800"",""973.9500"",""960.2300"""
"2017/07/25,""969.0300"",""5929386.0000"",""970.7000"",""976.7300"",""963.8000"""
"2017/07/24,""998.3100"",""3894298.0000"",""994.1000"",""1006.1900"",""990.2728"""
"2017/07/21,""993.8400"",""1461289.0000"",""989.0000"",""995.1100"",""984.1700"""
"2017/07/20,""992.1900"",""1415715.0000"",""997.0000"",""998.6800"",""984.6200"""
"2017/07/19,""992.7700"",""1397612.0000"",""990.0100"",""995.6000"",""987.0100"""
"2017/07/18,""986.9500"",""1406825.0000"",""973.3600"",""990.8500"",""972.0400"""
"2017/07/17,""975.9600"",""1655881.0000"",""976.3200"",""983.3500"",""970.8000"""
"2017/07/14,""976.9100"",""1071565.0000"",""974.0000"",""977.5400"",""970.1500"""
"2017/07/13,""968.8500"",""1523367.0000"",""970.8000"",""978.7000"",""964.8000"""
"2017/07/12,""967.6600"",""1599395.0000"",""960.8600"",""969.6300"",""957.0400"""
"2017/07/11,""953.5300"",""1460582.0000"",""950.5200"",""954.8900"",""945.1200"""
"2017/07/10,""951.0000"",""1411447.0000"",""941.9500"",""953.1300"",""941.9500"""
"2017/07/07,""940.8100"",""1618240.0000"",""930.9850"",""944.6600"",""929.7900"""
"2017/07/06,""927.6900"",""2013940.0000"",""925.0000"",""936.1400"",""919.8500"""
"2017/07/05,""932.2600"",""2091688.0000"",""924.2000"",""936.2900"",""918.6305"""
