"date,""close"",""volume"",""open"",""high"",""low"""
"16:00,""45.46"",""16,984,668"",""45.43"",""45.805"",""45.1725"""
"2017/11/14,""45.8600"",""22190890.0000"",""45.7000"",""45.9200"",""45.3200"""
"2017/11/13,""45.7500"",""18992580.0000"",""45.2600"",""45.9400"",""45.2500"""
"2017/11/10,""45.5800"",""24086480.0000"",""46.0400"",""46.0900"",""45.3800"""
"2017/11/09,""46.3000"",""25562450.0000"",""46.0500"",""46.3900"",""45.6500"""
"2017/11/08,""46.7000"",""21556890.0000"",""46.6200"",""46.7000"",""46.2800"""
"2017/11/07,""46.7800"",""24421340.0000"",""46.7000"",""47.0900"",""46.3900"""
"2017/11/06,""46.7000"",""34001470.0000"",""46.6000"",""46.7400"",""46.0900"""
"2017/11/03,""46.3400"",""39277370.0000"",""47.2000"",""47.3000"",""45.6000"""
"2017/11/02,""47.1000"",""44580600.0000"",""46.6100"",""47.2300"",""46.2130"""
"2017/11/01,""46.7100"",""47759810.0000"",""45.9700"",""46.7100"",""45.5900"""
"2017/10/31,""45.4900"",""46844870.0000"",""45.2000"",""45.8000"",""44.6500"""
"2017/10/30,""44.3700"",""48136380.0000"",""44.4800"",""45.1900"",""43.8800"""
"2017/10/27,""44.4000"",""89971840.0000"",""43.3000"",""45.0000"",""43.1000"""
"2017/10/26,""41.3500"",""37778840.0000"",""40.9100"",""41.5750"",""40.7100"""
"2017/10/25,""40.7800"",""24026900.0000"",""40.8900"",""41.0550"",""40.4900"""
"2017/10/24,""40.9500"",""19394340.0000"",""41.0000"",""41.0500"",""40.7200"""
"2017/10/23,""40.8300"",""28600510.0000"",""40.5500"",""41.0400"",""40.3950"""
"2017/10/20,""40.4300"",""18310720.0000"",""40.3300"",""40.4500"",""40.1000"""
"2017/10/19,""40.0900"",""18887730.0000"",""39.8800"",""40.3300"",""39.8300"""
"2017/10/18,""40.2500"",""21421390.0000"",""39.8000"",""40.2900"",""39.6000"""
"2017/10/17,""39.7900"",""15519940.0000"",""39.5600"",""39.8650"",""39.3700"""
"2017/10/16,""39.7600"",""12486080.0000"",""39.7100"",""39.7900"",""39.4400"""
"2017/10/13,""39.6700"",""16828220.0000"",""39.4400"",""39.8100"",""39.2800"""
"2017/10/12,""39.1900"",""18532910.0000"",""39.3500"",""39.3900"",""38.9800"""
"2017/10/11,""39.3000"",""30714950.0000"",""39.4800"",""39.6700"",""39.0600"""
"2017/10/10,""39.6500"",""29879830.0000"",""39.9300"",""39.9500"",""39.3800"""
"2017/10/09,""39.8600"",""18456870.0000"",""39.6800"",""39.8800"",""39.5200"""
"2017/10/06,""39.6300"",""18883900.0000"",""39.6000"",""39.8900"",""39.4200"""
"2017/10/05,""39.5300"",""17708470.0000"",""39.5000"",""39.6500"",""39.2100"""
"2017/10/04,""39.3400"",""28352310.0000"",""39.3900"",""39.4000"",""38.8606"""
"2017/10/03,""39.3800"",""34000180.0000"",""38.9500"",""39.7000"",""38.9500"""
"2017/10/02,""39.0400"",""37216110.0000"",""38.1200"",""39.0900"",""38.0800"""
"2017/09/29,""38.0800"",""23099060.0000"",""37.8400"",""38.1500"",""37.7000"""
"2017/09/28,""37.8300"",""21159800.0000"",""37.3200"",""37.8800"",""37.2900"""
"2017/09/27,""37.5400"",""25845770.0000"",""37.6200"",""37.6900"",""37.1000"""
"2017/09/26,""37.4700"",""29755090.0000"",""37.2100"",""37.6400"",""37.0000"""
"2017/09/25,""37.1600"",""23145180.0000"",""37.0500"",""37.2300"",""36.8500"""
"2017/09/22,""37.1800"",""21629840.0000"",""36.9500"",""37.2200"",""36.9500"""
