"date","close","volume","open","high","low"
"16:00","82.98","19,281,325","83.47","83.69","82.69"
"2017/11/14","84.0500","18759800.0000","83.5000","84.1000","82.9800"
"2017/11/13","83.9300","14185670.0000","83.6600","83.9400","83.4600"
"2017/11/10","83.8700","19395240.0000","83.7900","84.0950","83.2300"
"2017/11/09","84.0900","21174120.0000","84.1100","84.2700","82.9000"
"2017/11/08","84.5600","18027540.0000","84.1400","84.6100","83.8300"
"2017/11/07","84.2700","17927430.0000","84.7700","84.9000","83.9300"
"2017/11/06","84.4700","19852030.0000","84.2000","84.7000","84.0825"
"2017/11/03","84.1400","17629140.0000","84.0800","84.5400","83.4000"
"2017/11/02","84.0500","23980410.0000","83.3500","84.4600","83.1200"
"2017/11/01","83.1800","22278730.0000","83.6800","83.7600","82.8800"
"2017/10/31","83.1800","26949400.0000","84.3600","84.3600","83.1100"
"2017/10/30","83.8900","31749180.0000","83.7000","84.3250","83.1050"
"2017/10/27","83.8100","71022110.0000","84.3700","86.2000","83.6100"
"2017/10/26","78.7600","31527350.0000","79.2000","79.4200","78.7500"
"2017/10/25","78.6300","20377380.0000","78.5800","79.1000","78.0100"
"2017/10/24","78.8600","17353840.0000","78.9000","79.2000","78.4600"
"2017/10/23","78.8300","20609800.0000","78.9900","79.3400","78.7600"
"2017/10/20","78.8100","22851290.0000","78.3200","78.9700","78.2200"
"2017/10/19","77.9100","15080780.0000","77.5700","77.9300","77.3500"
"2017/10/18","77.6100","13288960.0000","77.6700","77.8500","77.3700"
"2017/10/17","77.5900","16072320.0000","77.4700","77.6200","77.2500"
"2017/10/16","77.6500","12361880.0000","77.4200","77.8100","77.3500"
"2017/10/13","77.4900","15319310.0000","77.5900","77.8700","77.2900"
"2017/10/12","77.1200","17268390.0000","76.4900","77.2900","76.3700"
"2017/10/11","76.4200","15378030.0000","76.3600","76.4600","75.9500"
"2017/10/10","76.2900","13939430.0000","76.3300","76.6300","76.1400"
"2017/10/09","76.2900","11386390.0000","75.9700","76.5500","75.8600"
"2017/10/06","76.0000","13946480.0000","75.6700","76.0300","75.5400"
"2017/10/05","75.9700","21176990.0000","75.2200","76.1200","74.9600"
"2017/10/04","74.6900","13295060.0000","74.0000","74.7200","73.7100"
"2017/10/03","74.2600","12186560.0000","74.6700","74.8800","74.1950"
"2017/10/02","74.6100","15296380.0000","74.7100","75.0100","74.2950"
"2017/09/29","74.4900","16989330.0000","73.9400","74.5350","73.8800"
"2017/09/28","73.8700","10879150.0000","73.5400","73.9700","73.3100"
"2017/09/27","73.8500","19487260.0000","73.5500","74.1700","73.1700"
"2017/09/26","73.2600","17270990.0000","73.6700","73.8100","72.9900"
"2017/09/25","73.2600","24131960.0000","74.0900","74.2500","72.9200"
"2017/09/22","74.4100","14095440.0000","73.9900","74.5100","73.8500"
"2017/09/21","74.2100","19172840.0000","75.1100","75.2400","74.1100"
"2017/09/20","74.9400","20789800.0000","75.3500","75.5500","74.3100"
"2017/09/19","75.4400","15769510.0000","75.2100","75.7100","75.0100"
"2017/09/18","75.1600","23305610.0000","75.2300","75.9700","75.0400"
"2017/09/15","75.3100","38515230.0000","74.8300","75.3900","74.0700"
"2017/09/14","74.7700","15695470.0000","75.0000","75.4900","74.5200"
"2017/09/13","75.2100","13353930.0000","74.9300","75.2300","74.5500"
"2017/09/12","74.6800","14387100.0000","74.7600","75.2400","74.3700"
"2017/09/11","74.7600","17900360.0000","74.3100","74.9450","74.3100"
"2017/09/08","73.9800","14703700.0000","74.3300","74.4400","73.8400"
"2017/09/07","74.3400","17468290.0000","73.6800","74.6000","73.6000"
"2017/09/06","73.4000","16525320.0000","73.7400","74.0400","73.3500"
"2017/09/05","73.6100","22234340.0000","73.3400","73.8900","72.9800"
"2017/09/01","73.9400","21713620.0000","74.7100","74.7400","73.6400"
"2017/08/31","74.7700","27645380.0000","74.0300","74.9600","73.8000"
"2017/08/30","74.0100","16892790.0000","73.0100","74.2099","72.8293"
"2017/08/29","73.0500","11470410.0000","72.2500","73.1600","72.0500"
"2017/08/28","72.8300","14558700.0000","73.0600","73.0900","72.5500"
"2017/08/25","72.8200","12790300.0000","72.8600","73.3500","72.4800"
"2017/08/24","72.6900","17097240.0000","72.7400","72.8600","72.0700"
"2017/08/23","72.7200","13758650.0000","72.9600","73.1500","72.5300"
"2017/08/22","73.1600","14333220.0000","72.3500","73.2400","72.3500"
"2017/08/21","72.1500","17698800.0000","72.4700","72.4800","71.7000"
"2017/08/18","72.4900","18760830.0000","72.2700","72.8400","71.9300"
"2017/08/17","72.4000","22450130.0000","73.5800","73.8700","72.4000"
"2017/08/16","73.6500","18146300.0000","73.3400","74.1000","73.1700"
"2017/08/15","73.2200","19174140.0000","73.5900","73.5900","73.0400"
"2017/08/14","73.5900","20079920.0000","73.0600","73.7200","72.9500"
"2017/08/11","72.5000","21429130.0000","71.6100","72.7000","71.2800"
"2017/08/10","71.4100","23882090.0000","71.9000","72.1900","71.3500"
"2017/08/09","72.4700","22208930.0000","72.2500","72.5100","72.0500"
"2017/08/08","72.7900","22029970.0000","72.0900","73.1300","71.7500"
"2017/08/07","72.4000","18703680.0000","72.8000","72.9000","72.2600"
"2017/08/04","72.6800","22578340.0000","72.4000","73.0400","72.2400"
"2017/08/03","72.1500","18203460.0000","72.1900","72.4400","71.8450"
"2017/08/02","72.2600","26487360.0000","72.5500","72.5600","71.4450"
"2017/08/01","72.5800","20755590.0000","73.1000","73.4200","72.4900"
"2017/07/31","72.7000","23546300.0000","73.3000","73.4400","72.4100"
"2017/07/28","73.0400","17800810.0000","72.6700","73.3100","72.5400"
"2017/07/27","73.1600","35803280.0000","73.7600","74.4200","72.3200"
"2017/07/26","74.0500","16074960.0000","74.3400","74.3800","73.8100"
"2017/07/25","74.1900","21934340.0000","73.8000","74.3100","73.5000"
"2017/07/24","73.6000","21227590.0000","73.5300","73.7500","73.1300"
"2017/07/21","73.7900","46301020.0000","73.4500","74.2900","73.1700"
"2017/07/20","74.2200","39459200.0000","74.1800","74.3000","73.2800"
"2017/07/19","73.8600","22071360.0000","73.5000","74.0400","73.4500"
"2017/07/18","73.3000","26356400.0000","73.0900","73.3900","72.6600"
"2017/07/17","73.3500","21776670.0000","72.8000","73.4500","72.7200"
