"date","close","volume","open","high","low"
"16:00","48.82","9,342,667","48.88","49.075","48.73"
"2017/11/14","49.2000","8498890.0000","49.3200","49.3300","48.9000"
"2017/11/13","49.4000","6566684.0000","49.1000","49.4300","49.0550"
"2017/11/10","49.3200","9943056.0000","49.0000","49.3700","48.7450"
"2017/11/09","49.2400","16193860.0000","50.1400","50.2200","48.5400"
"2017/11/08","50.5400","7978406.0000","50.3300","50.7400","50.2000"
"2017/11/07","50.4900","6795950.0000","50.4300","50.5800","50.0800"
"2017/11/06","50.4000","9649498.0000","50.1000","50.5500","50.0224"
"2017/11/03","50.1800","15814430.0000","50.3600","50.4400","50.1600"
"2017/11/02","50.2800","10387680.0000","50.5400","50.7000","50.1200"
"2017/11/01","50.6400","10127740.0000","51.1000","51.1700","50.5700"
"2017/10/31","50.9000","14181160.0000","50.7300","51.2800","50.4500"
"2017/10/30","50.6800","9049332.0000","50.6300","50.7500","50.2350"
"2017/10/27","50.8800","15099430.0000","50.2900","50.9700","50.0300"
"2017/10/26","50.1500","16951740.0000","50.1100","50.3000","49.7700"
"2017/10/25","49.7000","20635370.0000","49.8900","50.6500","49.6400"
"2017/10/24","49.9800","17458000.0000","49.3300","50.1400","49.2500"
"2017/10/23","49.3100","14632990.0000","49.2800","49.6600","49.2200"
"2017/10/20","49.2500","15489600.0000","49.5400","49.7900","49.1600"
"2017/10/19","49.3500","10048170.0000","49.4400","49.6700","49.1900"
"2017/10/18","49.5800","12064000.0000","49.5000","49.7600","49.1600"
"2017/10/17","49.1900","12995550.0000","48.8200","49.3000","48.7100"
"2017/10/16","48.8600","9378061.0000","48.6100","48.9100","48.4900"
"2017/10/13","48.6100","10140850.0000","48.3700","48.7100","48.3300"
"2017/10/12","48.2300","11619720.0000","48.2700","48.4800","48.1100"
"2017/10/11","48.2800","12091770.0000","48.1600","48.4700","48.1600"
"2017/10/10","48.2100","15629910.0000","48.1600","48.4600","48.0000"
"2017/10/09","48.3600","10168770.0000","48.3600","48.5800","48.1700"
"2017/10/06","48.4000","16231500.0000","48.6400","48.7000","48.2200"
"2017/10/05","48.9100","13871230.0000","48.9600","49.0300","48.5000"
"2017/10/04","48.9000","15115590.0000","48.9900","49.1900","48.7600"
"2017/10/03","48.6900","12707680.0000","48.9500","48.9600","48.5400"
"2017/10/02","48.8000","24924630.0000","48.7200","49.0000","48.5700"
"2017/09/29","48.3500","44862120.0000","48.1900","48.7500","47.9600"
"2017/09/28","48.0800","12958280.0000","48.2000","48.2500","48.0050"
"2017/09/27","48.1600","14405080.0000","48.0500","48.3600","47.9500"
"2017/09/26","47.9200","18495980.0000","48.1000","48.2100","47.8900"
"2017/09/25","47.9700","15662930.0000","48.5200","48.5400","47.6400"
"2017/09/22","48.1600","15336810.0000","47.9200","48.4250","47.9200"
"2017/09/21","47.9700","15147170.0000","47.8200","48.1900","47.8200"
"2017/09/20","47.9700","21250360.0000","48.0000","48.1900","47.6900"
"2017/09/19","48.0400","23065990.0000","48.4900","48.5000","47.8800"
"2017/09/18","48.3300","29428530.0000","48.8800","49.0600","48.0900"
"2017/09/15","48.7400","66273270.0000","50.6500","50.7000","48.4800"
"2017/09/14","52.7900","21409960.0000","52.7600","53.1400","52.3200"
"2017/09/13","52.8000","14448640.0000","52.5200","52.9800","52.4500"
"2017/09/12","52.7700","13347290.0000","52.6400","52.8900","52.4700"
"2017/09/11","52.4900","16524970.0000","51.8800","52.6100","51.8100"
"2017/09/08","51.5800","10133350.0000","51.8000","51.8800","51.3800"
"2017/09/07","51.7300","11515500.0000","51.1900","51.7800","51.0300"
"2017/09/06","51.0100","15467810.0000","51.0800","51.2250","50.7950"
"2017/09/05","50.9300","15610640.0000","50.5300","51.0800","50.4700"
"2017/09/01","50.6200","8704403.0000","50.3500","50.8800","50.3500"
"2017/08/31","50.3300","12899900.0000","49.8800","50.5150","49.8400"
"2017/08/30","49.8000","6949736.0000","49.5000","49.9500","49.3600"
"2017/08/29","49.4500","7245879.0000","48.8800","49.5700","48.7500"
"2017/08/28","49.2400","6204807.0000","49.3900","49.3900","49.0400"
"2017/08/25","49.2400","7836919.0000","49.4400","49.4400","49.1501"
"2017/08/24","49.1900","7365529.0000","49.0700","49.2569","48.8800"
"2017/08/23","49.0700","6895319.0000","49.0600","49.4300","48.9400"
"2017/08/22","49.2600","9232110.0000","49.1200","49.3500","48.9900"
"2017/08/21","48.9000","7285382.0000","48.6500","48.9600","48.5400"
"2017/08/18","48.6200","10121370.0000","48.4500","48.8800","48.3100"
"2017/08/17","48.5500","9442209.0000","49.1700","49.3100","48.5500"
"2017/08/16","49.2500","9880964.0000","48.9700","49.3150","48.7600"
"2017/08/15","48.8300","10663330.0000","48.8900","49.0600","48.7700"
"2017/08/14","48.8500","9228737.0000","48.4800","48.9600","48.4700"
"2017/08/11","48.2400","11704650.0000","48.1800","48.4350","47.9800"
"2017/08/10","48.1000","13292870.0000","48.9600","48.9600","48.0500"
"2017/08/09","49.0600","15872410.0000","48.9800","49.3900","48.8600"
"2017/08/08","49.1000","14627780.0000","49.5400","49.8250","48.9700"
"2017/08/07","49.6400","8278430.0000","50.0000","50.0900","49.5250"
"2017/08/04","49.9600","6986194.0000","50.1800","50.2100","49.8650"
"2017/08/03","50.2300","9487959.0000","49.9200","50.4100","49.7250"
"2017/08/02","49.7700","8718713.0000","50.2600","50.3100","49.5800"
"2017/08/01","50.1600","6046389.0000","50.1500","50.2200","49.8200"
"2017/07/31","49.9300","10029760.0000","50.4800","50.5000","49.8950"
"2017/07/28","50.3000","8996435.0000","50.1900","50.4900","50.0400"
"2017/07/27","50.4500","16508100.0000","51.3000","51.3600","50.1900"
"2017/07/26","51.1700","5724453.0000","51.1500","51.1900","51.0200"
"2017/07/25","51.1700","10536130.0000","50.9100","51.2300","50.7900"
"2017/07/24","50.7600","7609816.0000","50.8000","50.9000","50.6100"
"2017/07/21","50.8000","8791077.0000","50.8700","51.1500","50.6500"
"2017/07/20","51.1300","8737584.0000","51.1400","51.2600","50.8350"
"2017/07/19","51.0000","13311650.0000","50.4600","51.1000","50.3600"
"2017/07/18","50.4500","14105240.0000","50.3400","50.7000","50.1600"
"2017/07/17","50.4400","8094195.0000","50.3100","50.5800","50.2400"
"2017/07/14","50.5600","9875732.0000","50.2700","50.6500","50.2700"
"2017/07/13","50.3500","11959850.0000","50.5500","50.6750","50.2500"
"2017/07/12","50.4500","14460270.0000","50.0200","50.4800","49.9600"
"2017/07/11","49.8800","9750897.0000","49.5300","49.8900","49.4100"
"2017/07/10","49.6200","10098150.0000","49.2700","49.8300","49.2200"
"2017/07/07","49.3500","10608010.0000","48.8300","49.4400","48.8300"
"2017/07/06","48.8500","14409370.0000","49.2500","49.4200","48.7700"
"2017/07/05","49.4600","15775170.0000","49.8000","50.0300","49.4100"
"2017/07/03","49.3600","10883220.0000","50.0500","50.1300","49.3200"
"2017/06/30","50.1400","13146170.0000","50.1800","50.5200","50.0800"
"2017/06/29","50.2000","13924810.0000","50.7600","50.8850","49.9800"
"2017/06/28","50.8700","15980180.0000","51.0700","51.0900","50.8100"
"2017/06/27","50.7500","17875240.0000","50.7500","51.4500","50.5200"
"2017/06/26","50.8600","29451460.0000","50.9900","51.7000","50.7700"
"2017/06/23","50.9500","42806970.0000","50.2400","51.8350","50.0700"
"2017/06/22","50.3000","63153340.0000","51.6100","51.8500","50.1600"
"2017/06/21","46.3300","30045890.0000","46.1500","46.5400","46.0800"
"2017/06/20","45.8400","15286680.0000","45.7600","46.3200","45.6000"
"2017/06/19","45.7300","12783750.0000","45.2700","45.7500","45.2100"
"2017/06/16","45.0900","15908410.0000","44.7500","45.1000","44.5300"
"2017/06/15","44.6800","10383920.0000","44.5500","44.8150","44.3700"
"2017/06/14","44.8100","12008680.0000","45.1600","45.2800","44.4850"
"2017/06/13","44.9800","10705430.0000","45.0700","45.2350","44.6200"
"2017/06/12","44.8500","16188570.0000","44.6500","44.8500","43.7400"
"2017/06/09","45.0300","12188360.0000","45.4000","45.6699","44.6800"
"2017/06/08","45.4200","12843100.0000","45.7300","45.8565","45.3100"
"2017/06/07","45.4000","7688665.0000","45.6200","45.6500","45.1400"
"2017/06/06","45.6100","7449476.0000","45.7300","45.8400","45.6000"
"2017/06/05","45.9200","8617321.0000","45.6900","45.9950","45.6700"
"2017/06/02","45.6600","11794560.0000","45.8800","46.0700","45.4800"
"2017/06/01","45.7900","8138601.0000","45.5200","45.8000","45.3600"
