"date","close","volume","open","high","low"
"16:00","112.88","661,556","112.56","113.43","112.42"
"2017/11/14","113.0800","435484.0000","113.1300","113.2400","112.4900"
"2017/11/13","112.3700","518130.0000","111.0100","112.3950","110.9400"
"2017/11/10","112.5900","486964.0000","113.1100","113.1200","112.0900"
"2017/11/09","112.6400","635340.0000","112.5500","112.8500","111.7400"
"2017/11/08","114.6000","485905.0000","114.0000","114.7900","113.7900"
"2017/11/07","114.2200","1140493.0000","114.5100","114.6950","113.8400"
"2017/11/06","114.9900","688752.0000","115.4800","115.5400","114.6700"
"2017/11/03","114.9100","917960.0000","115.1700","115.2200","114.6200"
"2017/11/02","115.5200","587366.0000","116.0000","116.1300","114.9100"
"2017/11/01","116.2700","916153.0000","116.3600","116.9000","115.9300"
"2017/10/31","114.2000","302978.0000","114.2300","114.4800","113.5700"
"2017/10/30","113.8000","400268.0000","113.4000","113.8200","113.3900"
"2017/10/27","114.1500","582321.0000","114.3800","114.4100","113.4800"
"2017/10/26","113.4000","561019.0000","113.3100","113.9800","112.6500"
"2017/10/25","112.7600","795804.0000","113.2200","113.6200","112.3200"
"2017/10/24","112.3000","560257.0000","112.1900","112.5100","111.6200"
"2017/10/23","112.3200","720305.0000","112.5600","113.1384","112.2550"
"2017/10/20","112.0300","776087.0000","112.6800","112.7100","111.8700"
"2017/10/19","113.4000","1799661.0000","112.3900","113.6400","111.8000"
"2017/10/18","111.7700","533046.0000","112.1600","112.1700","111.1400"
"2017/10/17","111.3400","328426.0000","111.1200","111.4700","110.8600"
"2017/10/16","111.8400","515688.0000","112.0900","112.0900","111.5600"
"2017/10/13","112.7200","344985.0000","112.7100","113.1700","112.6000"
"2017/10/12","112.6500","322600.0000","112.5500","113.0300","112.5100"
"2017/10/11","112.6600","522710.0000","112.1900","112.8000","112.1600"
"2017/10/10","112.3500","561067.0000","112.4700","112.5500","111.8100"
"2017/10/09","112.3100","789103.0000","111.4400","112.3100","111.3400"
"2017/10/06","110.9700","787240.0000","109.8400","110.9700","109.8400"
"2017/10/05","110.9200","574214.0000","110.3000","110.9400","110.0400"
"2017/10/04","110.1200","545092.0000","110.0900","110.5750","109.9300"
"2017/10/03","110.9400","378242.0000","110.6600","111.2100","110.6500"
"2017/10/02","110.5600","557343.0000","109.9700","110.7100","109.9401"
"2017/09/29","109.6500","549407.0000","108.7700","109.6600","108.6000"
"2017/09/28","108.8000","414672.0000","108.3500","108.9500","108.3500"
"2017/09/27","107.9800","663937.0000","107.4300","108.3400","107.4300"
"2017/09/26","107.9200","768774.0000","108.0900","108.2800","107.3800"
"2017/09/25","108.9500","482779.0000","109.8500","109.8600","108.3700"
"2017/09/22","110.2700","464367.0000","110.2900","110.5300","109.8000"
"2017/09/21","109.6300","459660.0000","109.6400","110.0100","109.2500"
"2017/09/20","109.9000","636386.0000","110.2400","110.4400","108.9700"
"2017/09/19","110.3300","641084.0000","110.6400","110.6700","110.0600"
"2017/09/18","110.0600","1057738.0000","109.9700","110.2900","109.8800"
"2017/09/15","109.7400","726481.0000","109.7600","110.1200","109.3300"
"2017/09/14","109.2000","403354.0000","108.9100","109.4600","108.7142"
"2017/09/13","109.8000","586473.0000","109.7500","109.9000","109.4700"
"2017/09/12","109.9400","838977.0000","109.9300","110.2100","109.5900"
"2017/09/11","110.1900","1069085.0000","109.5500","110.3200","109.5000"
"2017/09/08","108.3000","851071.0000","108.8600","109.0700","108.1800"
"2017/09/07","108.0100","1044995.0000","107.9100","108.3700","107.6100"
"2017/09/06","106.0700","684613.0000","106.0200","106.3400","105.4300"
