,figi,figi_ticker,publication_date,summary,ticker,title,url
0,BBG000C3JBN9,CSCO:UW,2017-11-07 17:28:45 +0000,Yesterday Salesforce com Inc CRM and Alphabet Inc GOOGL announced a strategic partnership according to which the two tech giants will integrate their software solutions and cloud computing services We believe the move is part of the companies broader infrastructure expansion,CSCO,Salesforce & Google Form Cloud Alliance for Global Expansion,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/w_WukNjDOls/salesforce-google-form-cloud-alliance-for-global-expansion-cm873070
1,BBG000C3JBN9,CSCO:UW,2017-11-07 16:17:31 +0000,Former Cisco CEO John Chambers has a hand in it.,CSCO,One of the World’s Best Restaurants Now Has Crickets on the Menu,https://finance.yahoo.com/news/one-world-best-restaurants-now-161731473.html?.tsrc=rss
2,BBG000C3JBN9,CSCO:UW,2017-11-07 15:54:00 +0000,"Analysts see the networking company as positioned to outperform on new router products—sorry, Cisco.",CSCO,Arista to Grab Market Share From Cisco: Davidson,http://finance.yahoo.com/r/a5ea900d-f4b1-33a7-9b74-b9c65bd562af/arista-grab-market-share-cisco-davidson-0?partner=YahooSA&yptr=yahoo&.tsrc=rss
3,BBG000C3JBN9,CSCO:UW,2017-11-07 13:38:00 +0000,"It’s been a year of transition for both industry stalwarts, and there’s still a lot of work to be done.",CSCO,"Better Buy: Cisco Systems, Inc. vs. General Electric",https://finance.yahoo.com/news/better-buy-cisco-systems-inc-133800363.html?.tsrc=rss
4,BBG000C3JBN9,CSCO:UW,2017-11-07 13:00:00 +0000,"Today Cisco celebrated the 20th anniversary of Cisco Networking Academy®, its IT skills and career-building program available to learning institutions and individuals worldwide. In these 20 years, the ...",CSCO,Cisco Networking Academy Marks 20th Anniversary,https://finance.yahoo.com/news/cisco-networking-academy-marks-20th-130000544.html?.tsrc=rss
5,BBG000C3JBN9,CSCO:UW,2017-11-07 10:46:00 +0000,Salesforce and Google's partnership promises to shake up the cloud computing race.,CSCO,"Salesforce, Google Sign Cloud Partnership",http://finance.yahoo.com/r/96691af7-4b94-3ca3-96b3-764fb4dab142/salesforce-google-sign-cloud-partnership?partner=YahooSA&yptr=yahoo&.tsrc=rss
6,BBG000C3JBN9,CSCO:UW,2017-11-07 00:30:00 +0000,"Cyber-attacks have become increasingly common and increasingly dangerous this year, and stocks in the cybersecurity space are well positioned to see a boost in this war",CSCO,5 Stocks To Watch In The $6 Trillion Cyber War,https://finance.yahoo.com/news/5-stocks-watch-6-trillion-003000937.html?.tsrc=rss
7,BBG000C3JBN9,CSCO:UW,2017-11-07 00:22:58 +0000,"Nov.06 -- John Chambers, Cisco's executive chairman and former CEO, discusses tech startups, his investment in cricket farming and U.S. tax policy during an interview with Bloomberg's Cory Johnson on &quot;Bloomberg Technology.&quot;",CSCO,"John Chambers on Startups, Cricket Farming and Tax Policy",https://finance.yahoo.com/video/john-chambers-startups-cricket-farming-002258983.html?.tsrc=rss
8,BBG000C3JBN9,CSCO:UW,2017-11-07 00:09:40 +0000,"Nov.06 -- John Chambers, Cisco's executive chairman and former CEO, comments on his investment in cricket farming during an interview with Bloomberg's Cory Johnson on &quot;Bloomberg Technology.&quot;",CSCO,John Chambers Says Cricket Farming Can Solve World Hunger,https://finance.yahoo.com/video/john-chambers-says-cricket-farming-000940762.html?.tsrc=rss
9,BBG000C3JBN9,CSCO:UW,2017-11-07 00:07:23 +0000,Shares in Salesforce com CRM rose in late trading Monday after the company announced deeper ties with Google s cloud computing service Salesforce com also disclosed fiscal 2019 revenue guidance in line with estimates Salesforce com said it expects fiscal 2019 revenue in,CSCO,"Google, Salesforce.com Forge Cloud Pact, Revenue Outlook In-Line",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/shdvEEjNAAs/google-salesforcecom-forge-cloud-pact-revenue-outlook-in-line-cm872638
