,figi,figi_ticker,publication_date,summary,ticker,title,url
0,BBG000C0GFS4,INTC:UW,2017-11-07 21:45:12 +0000,NVIDIA’s years of research in deep learning are finally paying off with revenue growth of around 50% YoY (year-over-year) for the past four quarters.,INTC,Will NVIDIA’s Record Revenue Trend Continue?,http://finance.yahoo.com/r/1a3ba67a-4627-3b35-b440-81469ff02b70/will-nvidias-record-revenue-trend-continue?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
1,BBG000C0GFS4,INTC:UW,2017-11-07 20:13:27 +0000,NVIDIA (NVDA) stock has shown tremendous growth in the past two years.,INTC,Will NVIDIA’s Stock Price Rally Continue through the Rest of 2017?,http://finance.yahoo.com/r/0ea55fba-5d8e-39b8-b213-83a4a4e21e96/will-nvidias-stock-price-rally-continue-rest-2017?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
2,BBG000C0GFS4,INTC:UW,2017-11-07 20:00:51 +0000,NVIDIA’s rising stock price is the result of investor optimism around the company’s strong growth in gaming and data center markets.,INTC,Why Analysts and Investors Are Bullish on NVIDIA,http://finance.yahoo.com/r/b5c35ed9-c79f-3094-bdbc-7c247ecfd2f6/why-analysts-and-investors-are-bullish-on-nvidia?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
3,BBG000C0GFS4,INTC:UW,2017-11-07 19:45:24 +0000,"Semiconductor stocks have made a lot of headlines in recent months. On Monday, Broadcom Ltd (NASDAQ: AVGO ) made a massive 0 billion bid for QUALCOMM, Inc. (NASDAQ: QCOM ). NVIDIA Corporation (NASDAQ: ...",INTC,No One Compares To Intel In Global Semiconductor Market Share,https://finance.yahoo.com/news/no-one-compares-intel-global-194524510.html?.tsrc=rss
4,BBG000C0GFS4,INTC:UW,2017-11-07 19:14:39 +0000,"The league, along with Time Warner Inc.’s Turner Sports, announced a multiyear partnership with Intel Corp. on Tuesday in which the two will broadcast live games in virtual reality.",INTC,NBA doubles down on virtual reality in broadcasting partnership with Intel,http://finance.yahoo.com/r/e1d82c50-821e-3b02-895d-c6921694d54a/Story.aspx?guid=5104F5BE-C32B-11E7-90EA-C4904B2C78F3&siteid=yhoof2&yptr=yahoo&.tsrc=rss
5,BBG000C0GFS4,INTC:UW,2017-11-07 18:47:00 +0000,The Saffron anti-money-laundering advisor&apos;s capabilities should pave Intel&apos;s way into the financial big data space.,INTC,Intel’s Latest AI Platform Takes Aim at Financial Crooks,https://finance.yahoo.com/news/intel-latest-ai-platform-takes-184700676.html?.tsrc=rss
6,BBG000C0GFS4,INTC:UW,2017-11-07 18:41:00 +0000,"In an interesting development, Intel and AMD have announced a partnership to build a new chip which will combine Intel’s CPU with AMD’s Radeon GPU technology. The move is aimed at combating Nvidia, which is becoming increasingly competitive.",INTC,What To Make Of The Intel-AMD Deal,http://finance.yahoo.com/r/f31ca2a6-5c09-390b-b75d-6b74c6f1fc8a/what-to-make-of-the-intel-amd-deal?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix&yptr=yahoo&.tsrc=rss
7,BBG000C0GFS4,INTC:UW,2017-11-07 18:11:40 +0000,"Silicon Valley, on San Francisco's peninsula, is often used as the catch-all phrase representing US West Coast tech, even though Amazon and Microsoft are up in Washington state and its biggest companies ...",INTC,[$$] Silicon Valley plays second fiddle to SoCal,"http://finance.yahoo.com/r/4fbbfc67-3902-3c86-8ebc-d1913859c375/54400f38-c3e5-11e7-b2bb-322b2cb39656,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev&yptr=yahoo&.tsrc=rss"
8,BBG000C0GFS4,INTC:UW,2017-11-07 17:38:37 +0000,"Intel Corporation (NASDAQ: INTC ) and Advanced Micro Devices, Inc. (NASDAQ: AMD ) on Monday announced a new partnership in which Intel will now be using AMD’s Vega GPU in its multi-chip high-end notebook ...",INTC,Does The AMD-Intel Chip Deal Really Matter For Nvidia?,https://finance.yahoo.com/news/does-amd-intel-chip-deal-173837067.html?.tsrc=rss
9,BBG000C0GFS4,INTC:UW,2017-11-07 16:46:16 +0000,"Fog reduces latency and the load on data centers, brings more complexity to the edge of wireless networks, and (most important to this story) will dramatically increase demand for Nvidia chips.  NVDA stock is thus transitioning from being a graphics chip company to an AI chip company, giving it a much longer growth runway and, ultimately, a much higher valuation.",INTC,Nvidia Corporation Stock: Into the Fog of Greater Profit,https://finance.yahoo.com/news/nvidia-corporation-stock-fog-greater-164616603.html?.tsrc=rss
10,BBG000C0GFS4,INTC:UW,2017-11-07 16:30:00 +0000,Major figures such as Elon Musk and Stephen Hawking have warned about the dangers of AI.,INTC,"A.I. is in its 'infancy' and it's too early to regulate it, Intel CEO Brian Krzanich says",http://finance.yahoo.com/r/f2f8e76b-a052-3719-8a06-853bb0b19945/104825975?__source=yahoo%7Cfinance%7Cheadline%7Cheadline%7Cstory&par=yahoo&doc=104825975&yptr=yahoo&.tsrc=rss
11,BBG000C0GFS4,INTC:UW,2017-11-07 16:30:00 +0000,Turner Sports* and Intel today announced a multiyear partnership to make live NBA* game action available in virtual reality using Intel True VR technology. Intel will become the Exclusive Provider of Virtual Reality for the NBA on TNT and deliver live content for marquee matchups beginning with NBA All-Star 2018 in Los Angeles.,INTC,Turner Sports and Intel Announce Multiyear Partnership to Bring Virtual Reality to NBA Fans,https://finance.yahoo.com/news/turner-sports-intel-announce-multiyear-163000275.html?.tsrc=rss
12,BBG000C0GFS4,INTC:UW,2017-11-07 16:30:00 +0000,Major figures such as Elon Musk and Stephen Hawking have warned about the dangers of AI.,INTC,"A.I. is in its &apos;infancy&apos; and it&apos;s too early to regulate it, Intel CEO Brian Krzanich says",https://finance.yahoo.com/news/apos-infancy-apos-apos-too-163000561.html?.tsrc=rss
13,BBG000C0GFS4,INTC:UW,2017-11-07 16:02:35 +0000,See who makes IBD&apos;s latest list of new buys and sells by the top mutual funds.,INTC,Which Stocks Have Top Fund Managers Been Buying – And Selling?,http://finance.yahoo.com/r/c40243ca-6554-3f22-bd45-8c910e03643c/which-stocks-have-top-fund-managers-been-buying-and-selling?src=A00220&yptr=yahoo&.tsrc=rss
14,BBG000C0GFS4,INTC:UW,2017-11-07 15:06:28 +0000,InvestorPlace Stock Market News Stock Advice amp Trading Tips Calling a spade a spade there are plenty of reasons NVIDIA Corporation NASDAQ NVDA could and arguably should worry investors Aside from the fact that NVDA stock is priced at a frothy 51 9 times its forward,INTC,Elon Musk’s Musings Aren’t a Reason to Sell Your Nvidia Corporation Stock,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NwI3XXI3w4k/elon-musks-musings-arent-a-reason-to-sell-your-nvidia-corporation-stock-cm872906
15,BBG000C0GFS4,INTC:UW,2017-11-07 15:04:01 +0000,"Before I begin this month’s trade analysis of Advanced Micro Devices, Inc. (NASDAQ:AMD) I want to offer up a mea culpa.  AMD stock was completely blindsided by ridiculous expectations following what was a stellar third-quarter earnings report.  What we got was a hot mess of speculators selling hand over fist due to collapsing demand from cryptocurrency — which any long-term AMD investor knew was a fad anyway.",INTC,"Sanity Has Returned to Advanced Micro Devices, Inc. Stock",https://finance.yahoo.com/news/sanity-returned-advanced-micro-devices-150401921.html?.tsrc=rss
16,BBG000C0GFS4,INTC:UW,2017-11-07 14:16:05 +0000,Silicon Motion Technology Corporation SIMO will begin trading ex dividend on November 08 2017 A cash dividend payment of 0 298 per share is scheduled to be paid on November 24 2017 Shareholders who purchased SIMO prior to the ex dividend date are eligible for the cash dividend,INTC,"Silicon Motion Technology Corporation (SIMO) Ex-Dividend Date Scheduled for November 08, 2017",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tBdGEHqB-BM/silicon-motion-technology-corporation-simo-ex-dividend-date-scheduled-for-november-08-2017-cm872827
17,BBG000C0GFS4,INTC:UW,2017-11-07 14:15:21 +0000,"Advanced Micro Devices, Inc. (NASDAQ: AMD ) may have some major upside ahead, and investors have a rival semiconductor company to thank. AMD announced a new semi-custom deal with Intel Corporation (NASDAQ: ...",INTC,Analysis: AMD's Intel Deal Lends Almost 100% Upside To The Stock,https://finance.yahoo.com/news/analysis-amds-intel-deal-lends-141521868.html?.tsrc=rss
18,BBG000C0GFS4,INTC:UW,2017-11-07 14:13:01 +0000,For Immediate Release Chicago IL November 7 2017 Zacks com announces the list of stocks featured in the Analyst Blog Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets Stocks recently featured in the blog,INTC,"The Zacks Analyst Blog Highlights: Royal Caribbean, Macy's, Exxon Mobil, Intel and Mastercard",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/sj8hKM7BQGw/the-zacks-analyst-blog-highlights-royal-caribbean-macys-exxon-mobil-intel-and-mastercard-cm872778
